campaign,number,slug,weight,verdict,instrument,seeds,baseline,reading,delta,resolution,per_seed,title
autonomous,022,lr-eighth,iteration,DISCARD,"3-seed mean vs best kept, floor from calibration",0-2,90.4867,38.0233,-52.46,floor 13.17 (008),55.23 2.01 56.83,LR 0.00025 -> 0.000125: one more halving
autonomous-2,001,spread-of-mean-score-unchanged,full,PASS,calibration: single-seed range over seeds 0-4 (fixed),0-4,33.174,33.174,,single-seed range 1.32 (std 0.6125),33.75 32.76 32.60 32.84 33.92,What is the run-to-run spread of mean_score on the unchanged code?
autonomous-2,002,trap-bits-in-state,iteration,KEEP,"5-seed mean vs best kept, floor from calibration",0-4,33.174,75.224,42.05,floor 1.32 (001),77.12 76.88 76.90 71.64 73.58,"Trap bits in the state: one per move, set when the reachable area is smaller than the snake"
autonomous-2,003,spread-with-trap-bits,full,PASS,calibration: single-seed range over seeds 0-4 (fixed),0-4,75.224,75.224,,single-seed range 5.48 (std 2.4846),77.12 76.88 76.90 71.64 73.58,What is the run-to-run spread of mean_score on the kept code with trap bits?
autonomous-2,004,lr-2p5e-4,iteration,KEEP,"5-seed mean vs best kept, floor from calibration",0-4,75.224,82.18,6.96,floor 5.48 (003),80.23 86.70 77.55 83.60 82.82,LR 2.5e-4 instead of 1e-3
autonomous-2,005,spread-with-lr-2p5e-4,full,PASS,calibration: single-seed range over seeds 0-4 (fixed),0-4,82.18,82.18,,single-seed range 9.15 (std 3.4676),80.23 86.70 77.55 83.60 82.82,What is the run-to-run spread of mean_score on the kept code with trap bits and LR 2.5e-4?
autonomous-2,006,huber-loss,iteration,DISCARD,"5-seed mean vs best kept, floor from calibration",0-4,82.18,65.036,-17.14,floor 9.15 (005),67.30 45.94 69.98 58.10 83.86,Huber (SmoothL1) loss instead of MSE
autonomous-2,007,free-run-features,iteration,DISCARD,"5-seed mean vs best kept, floor from calibration",0-4,82.18,72.022,-10.16,floor 9.15 (005),72.51 78.10 73.50 66.23 69.77,Free-run length per move as three state features
autonomous-2,008,four-replay-batches,iteration,INCONCLUSIVE,"5-seed mean vs best kept, floor from calibration",0-4,82.18,87.132,4.95,floor 9.15 (005),87.87 94.78 85.90 73.96 93.15,Four replay batches per game instead of one
autonomous-2,009,target-network,iteration,INCONCLUSIVE,"5-seed mean vs best kept, floor from calibration",0-4,82.18,83.198,1.02,floor 9.15 (005),79.04 81.14 86.07 89.48 80.26,Target network synced every 1000 train steps
autonomous-2,010,lr-1e-4,iteration,DISCARD,"5-seed mean vs best kept, floor from calibration",0-4,82.18,40.898,-41.28,floor 9.15 (005),52.58 54.88 31.84 0.28 64.91,LR 1e-4 instead of 2.5e-4
autonomous-2,011,gamma-0p95,iteration,INCONCLUSIVE,"5-seed mean vs best kept, floor from calibration",0-4,82.18,82.836,0.66,floor 9.15 (005),84.00 85.28 90.89 78.76 75.25,GAMMA 0.95 instead of 0.9
autonomous-2,012,max-memory-1e6,iteration,INCONCLUSIVE,"5-seed mean vs best kept, floor from calibration",0-4,82.18,81.684,-0.5,floor 9.15 (005),82.98 82.92 75.01 83.91 83.60,"MAX_MEMORY 1e6 instead of 1e5, so nothing is evicted within a run"
autonomous-2,013,tail-is-free-in-trap-check,iteration,INCONCLUSIVE,"5-seed mean vs best kept, floor from calibration",0-4,82.18,85.684,3.5,floor 9.15 (005),85.14 88.92 85.39 81.11 87.86,The tail cell counts as free in the trap check
